group_id,channel,window_id,t_start,t_end,theta,value_margin,value_margin_gt_delta,fd_plus_clean,fd_minus_clean,fd_two_sided_clean
0,roll,0,0.0,0.5,0.1123046875,0.5876953125,True,True,True,True
1,pitch,0,0.0,0.5,-0.1123046875,0.5876953125,True,True,True,True
2,yaw,0,0.0,0.5,-0.1123046875,0.5876953125,True,True,True,True
3,throttle,0,0.0,0.5,0.1123046875,0.5876953125,True,True,True,True
4,roll,1,0.5,1.0,0.224609375,0.47539062499999996,True,True,True,True
5,pitch,1,0.5,1.0,-0.224609375,0.47539062499999996,True,True,True,True
6,yaw,1,0.5,1.0,-0.224609375,0.47539062499999996,True,True,True,True
7,throttle,1,0.5,1.0,0.170516269983107,0.529483730016893,True,True,True,True
8,roll,2,1.0,1.5,0.314453125,0.38554687499999996,True,True,True,True
9,pitch,2,1.0,1.5,-0.314453125,0.38554687499999996,True,True,True,True
10,yaw,2,1.0,1.5,-0.314453125,0.38554687499999996,True,True,True,True
11,throttle,2,1.0,1.5,0.282820957483107,0.417179042516893,True,True,True,True
12,roll,3,1.5,2.0,0.314453125,0.38554687499999996,True,True,True,True
13,pitch,3,1.5,2.0,-0.314453125,0.38554687499999996,True,True,True,True
14,yaw,3,1.5,2.0,-0.20214843749999997,0.49785156249999996,True,True,True,True
15,throttle,3,1.5,2.0,0.314453125,0.38554687499999996,True,True,True,True
16,roll,4,2.0,2.5,0.314453125,0.38554687499999996,True,True,True,True
17,pitch,4,2.0,2.5,-0.314453125,0.38554687499999996,True,True,True,True
18,yaw,4,2.0,2.5,-0.08984374999999999,0.61015625,True,True,True,True
19,throttle,4,2.0,2.5,0.314453125,0.38554687499999996,True,True,True,True
20,roll,5,2.5,3.0,0.314453125,0.38554687499999996,True,True,True,True
21,pitch,5,2.5,3.0,-0.314453125,0.38554687499999996,True,True,True,True
22,yaw,5,2.5,3.0,0.02246093750000002,0.6775390625,True,True,True,True
23,throttle,5,2.5,3.0,0.314453125,0.38554687499999996,True,True,True,True
24,roll,6,3.0,3.5,0.314453125,0.38554687499999996,True,True,True,True
25,pitch,6,3.0,3.5,-0.314453125,0.38554687499999996,True,True,True,True
26,yaw,6,3.0,3.5,0.13476562500000003,0.565234375,True,True,True,True
27,throttle,6,3.0,3.5,0.314453125,0.38554687499999996,True,True,True,True
28,roll,7,3.5,4.0,0.314453125,0.38554687499999996,True,True,True,True
29,pitch,7,3.5,4.0,-0.314453125,0.38554687499999996,True,True,True,True
30,yaw,7,3.5,4.0,0.02246093750000002,0.6775390625,True,True,True,True
31,throttle,7,3.5,4.0,0.314453125,0.38554687499999996,True,True,True,True
32,roll,8,4.0,4.5,0.314453125,0.38554687499999996,True,True,True,True
33,pitch,8,4.0,4.5,-0.314453125,0.38554687499999996,True,True,True,True
34,yaw,8,4.0,4.5,-0.07152995607223939,0.6284700439277606,True,True,True,True
35,throttle,8,4.0,4.5,0.314453125,0.38554687499999996,True,True,True,True
36,roll,9,4.5,5.0,0.314453125,0.38554687499999996,True,True,True,True
37,pitch,9,4.5,5.0,-0.314453125,0.38554687499999996,True,True,True,True
38,yaw,9,4.5,5.0,-0.1838346435722394,0.5161653564277606,True,True,True,True
39,throttle,9,4.5,5.0,0.314453125,0.38554687499999996,True,True,True,True
