time_s,source,abs_alt_m,rel_alt_m,mode
6.2824860000000005,POS,16.100000381469727,-0.027388732880353928,STABILIZE
6.382446,POS,16.100000381469727,-0.027388732880353928,STABILIZE
6.482406000000001,POS,16.100000381469727,-0.027388732880353928,GUIDED
6.582366,POS,16.100000381469727,-0.027388732880353928,GUIDED
6.682326,POS,16.100000381469727,-0.027388732880353928,GUIDED
6.782286000000001,POS,16.100000381469727,-0.027388732880353928,GUIDED
6.882246,POS,16.100000381469727,-0.027388732880353928,GUIDED
6.982206,POS,16.100000381469727,-0.027388732880353928,GUIDED
7.082166000000001,POS,16.100000381469727,-0.027388732880353928,GUIDED
7.182126,POS,16.100000381469727,-0.027388732880353928,GUIDED
7.282086,POS,16.100000381469727,-0.027388732880353928,GUIDED
7.382046000000001,POS,16.100000381469727,-0.027388732880353928,GUIDED
7.482006,POS,16.100000381469727,-0.027388732880353928,GUIDED
7.5819659999999995,POS,16.100000381469727,-0.027388732880353928,GUIDED
7.681926000000001,POS,16.100000381469727,-0.027388732880353928,GUIDED
7.781886,POS,16.100000381469727,-0.027388732880353928,GUIDED
7.881846000000001,POS,16.100000381469727,-0.027388732880353928,GUIDED
7.981806000000001,POS,16.100000381469727,-0.027388732880353928,GUIDED
8.081766,POS,16.100000381469727,-0.027388732880353928,GUIDED
8.181726000000001,POS,16.100000381469727,-0.027388732880353928,GUIDED
8.281686,POS,16.100000381469727,-0.027388732880353928,GUIDED
8.382479,POS,16.100000381469727,-0.027388732880353928,GUIDED
8.482439000000001,POS,16.100000381469727,-0.027388732880353928,GUIDED
8.582399,POS,16.100000381469727,-0.027388732880353928,GUIDED
8.682359,POS,16.100000381469727,-0.027388732880353928,GUIDED
8.782319000000001,POS,16.100000381469727,-0.027388732880353928,GUIDED
8.882279,POS,16.100000381469727,-0.027388732880353928,GUIDED
8.982239,POS,16.100000381469727,-0.027388732880353928,GUIDED
9.082199000000001,POS,16.100000381469727,-0.027388732880353928,GUIDED
9.182159,POS,16.100000381469727,-0.027388732880353928,GUIDED
9.282119,POS,16.100000381469727,-0.027388732880353928,GUIDED
9.382079000000001,POS,16.100000381469727,-0.027388732880353928,GUIDED
9.482039,POS,16.100000381469727,-0.027388732880353928,GUIDED
9.581999,POS,16.100000381469727,-0.027388732880353928,GUIDED
9.681959,POS,16.100000381469727,-0.027388732880353928,GUIDED
9.781919,POS,16.100000381469727,-0.027388732880353928,GUIDED
9.881879,POS,16.100000381469727,-0.027388732880353928,GUIDED
9.981839,POS,16.100000381469727,-0.027388732880353928,GUIDED
10.081799,POS,16.100000381469727,-0.027388732880353928,GUIDED
10.181759,POS,16.100000381469727,-0.027388732880353928,GUIDED
10.281719,POS,16.100000381469727,-0.027388732880353928,GUIDED
10.381679,POS,16.100000381469727,-0.027388732880353928,GUIDED
10.482472,POS,16.100000381469727,-0.027388732880353928,GUIDED
10.582432,POS,16.100000381469727,-0.027388732880353928,GUIDED
10.682392,POS,16.100000381469727,-0.027388732880353928,GUIDED
10.782352000000001,POS,16.100000381469727,-0.027388732880353928,GUIDED
10.882312,POS,16.100000381469727,-0.027388732880353928,GUIDED
10.982272,POS,16.100000381469727,-0.027388732880353928,GUIDED
11.082232000000001,POS,16.100000381469727,-0.027388732880353928,GUIDED
11.182192,POS,16.100000381469727,-0.027388732880353928,GUIDED
11.282152,POS,16.100000381469727,-0.027388732880353928,GUIDED
11.382112000000001,POS,16.100000381469727,-0.027388732880353928,GUIDED
11.482072,POS,16.100000381469727,-0.027388732880353928,GUIDED
11.582032,POS,16.100000381469727,-0.027388732880353928,GUIDED
11.681992000000001,POS,16.100000381469727,-0.027388732880353928,GUIDED
11.781952,POS,16.100000381469727,-0.027388732880353928,GUIDED
11.881912,POS,16.100000381469727,-0.027388732880353928,GUIDED
11.981872000000001,POS,16.100000381469727,-0.027388732880353928,GUIDED
12.081832,POS,16.100000381469727,-0.027388732880353928,GUIDED
12.181792,POS,16.100000381469727,-0.027388732880353928,GUIDED
12.281752000000001,POS,16.100000381469727,-0.027388732880353928,GUIDED
12.381712,POS,16.100000381469727,-0.027388732880353928,GUIDED
12.482505,POS,16.100000381469727,-0.027388732880353928,GUIDED
